24.03.2016;13:55:00;24.3
24.03.2016;13:55:02;24.3
24.03.2016;13:55:04;24.3
24.03.2016;13:55:06;24.3
24.03.2016;13:55:08;24.3
24.03.2016;13:55:10;24.2
24.03.2016;13:55:12;24.2
24.03.2016;13:55:14;24.2
24.03.2016;13:55:16;24.2
24.03.2016;13:55:18;24.1
24.03.2016;13:55:20;24.1
24.03.2016;13:55:22;24.1
24.03.2016;13:55:24;24.1
24.03.2016;13:55:26;24.1
24.03.2016;13:55:28;23.9
24.03.2016;13:55:30;23.9
24.03.2016;13:55:32;23.9
24.03.2016;13:55:34;23.9
24.03.2016;13:55:36;23.8
24.03.2016;13:55:38;23.8
24.03.2016;13:55:40;23.8
24.03.2016;13:55:42;23.7
24.03.2016;13:55:44;23.7
24.03.2016;13:55:46;23.7
24.03.2016;13:55:48;23.7
24.03.2016;13:55:50;23.7
24.03.2016;13:55:52;23.7
24.03.2016;13:55:54;23.7
24.03.2016;13:55:56;23.7
24.03.2016;13:55:58;23.7
24.03.2016;13:56:00;23.5
24.03.2016;13:56:02;23.5
24.03.2016;13:56:04;23.5
24.03.2016;13:56:06;23.4
24.03.2016;13:56:08;23.4
24.03.2016;13:56:10;23.4
24.03.2016;13:56:12;23.4
24.03.2016;13:56:14;23.3
24.03.2016;13:56:16;23.3
24.03.2016;13:56:18;23.3
24.03.2016;13:56:20;23.3
24.03.2016;13:56:22;23.3
24.03.2016;13:56:24;23.3
24.03.2016;13:56:26;23.3
24.03.2016;13:56:28;23.3
24.03.2016;13:56:30;23.3
24.03.2016;13:56:32;23.3
24.03.2016;13:56:34;OL
24.03.2016;13:56:36;23.2
24.03.2016;13:56:38;23.2
24.03.2016;13:56:40;23.2
24.03.2016;13:56:42;23.2
24.03.2016;13:56:44;23.3
24.03.2016;13:56:46;23.3
24.03.2016;13:56:48;23.5
24.03.2016;13:56:50;23.5
24.03.2016;13:56:52;23.7
24.03.2016;13:56:54;23.9
24.03.2016;13:56:56;24.2
24.03.2016;13:56:58;24.2
24.03.2016;13:57:00;24.5
24.03.2016;13:57:02;24.8
24.03.2016;13:57:04;25.1
24.03.2016;13:57:06;25.3
24.03.2016;13:57:08;25.3
24.03.2016;13:57:10;25.3
